PLAYER,TEAM_BBREF,MP,BPM,SEASON
Royal Ivey,MIL,1437.0,-4.4,2007-08
Thabo Sefolosha,CHI,1436.0,-1.0,2007-08
J.R. Smith,DEN,1421.0,2.6,2007-08
Matt Barnes,GSW,1414.0,-0.2,2007-08
Jerry Stackhouse,DAL,1412.0,-0.8,2007-08
Jeff McInnis,CHA,1410.0,-5.4,2007-08
Bobby Jackson,2TM,1389.0,0.6,2007-08
Bobby Jackson,NOH,891.0,0.5,2007-08
Bobby Jackson,HOU,498.0,0.7,2007-08
Jared Dudley,CHA,1384.0,-0.7,2007-08
Mike Conley,MEM,1381.0,-3.0,2007-08
Luther Head,HOU,1379.0,0.8,2007-08
Matt Harpring,UTA,1374.0,-1.9,2007-08
Tony Allen,BOS,1373.0,-1.7,2007-08
Travis Diener,IND,1356.0,-1.4,2007-08
Channing Frye,POR,1342.0,-1.8,2007-08
Chris Quinn,MIA,1340.0,-0.5,2007-08
Damon Jones,CLE,1336.0,-0.4,2007-08
Keyon Dooling,ORL,1334.0,-0.6,2007-08
Tyrus Thomas,CHI,1330.0,-0.6,2007-08
Jared Jeffries,NYK,1325.0,-4.1,2007-08
Anderson Varejão,CLE,1320.0,-2.6,2007-08
Ime Udoka,SAS,1316.0,0.2,2007-08
Mickaël Piétrus,GSW,1316.0,-0.2,2007-08
Johan Petro,SEA,1310.0,-5.1,2007-08
DeSagana Diop,2TM,1295.0,-0.6,2007-08
DeSagana Diop,DAL,894.0,0.7,2007-08
DeSagana Diop,NJN,401.0,-3.4,2007-08
Jamaal Tinsley,IND,1293.0,-1.5,2007-08
Jarvis Hayes,DET,1287.0,-0.6,2007-08
Sasha Vujačić,LAL,1279.0,1.2,2007-08
Sean Williams,NJN,1278.0,-2.2,2007-08
James Jones,POR,1276.0,1.3,2007-08
Sam Cassell,2TM,1274.0,-0.9,2007-08
Sam Cassell,LAC,975.0,-0.4,2007-08
Sam Cassell,BOS,299.0,-2.6,2007-08
Carlos Arroyo,ORL,1269.0,-0.9,2007-08
Randy Foye,MIN,1259.0,-2.2,2007-08
Antoine Wright,2TM,1232.0,-3.0,2007-08
Antoine Wright,NJN,1056.0,-3.0,2007-08
Antoine Wright,DAL,176.0,-2.7,2007-08
Josh Powell,LAC,1228.0,-4.9,2007-08
Luke Ridnour,SEA,1223.0,-3.1,2007-08
Jermaine O'Neal,IND,1206.0,-1.8,2007-08
T.J. Ford,TOR,1199.0,2.5,2007-08
Sasha Pavlović,CLE,1188.0,-4.9,2007-08
Jason Collins,2TM,1172.0,-6.7,2007-08
Jason Collins,NJN,684.0,-7.0,2007-08
Jason Collins,MEM,488.0,-6.2,2007-08
Nick Young,WAS,1158.0,-4.7,2007-08
Jacque Vaughn,SAS,1139.0,-3.5,2007-08
Jason Smith,PHI,1107.0,-3.5,2007-08
Dorell Wright,MIA,1104.0,0.1,2007-08
Malik Allen,2TM,1096.0,-3.5,2007-08
Malik Allen,NJN,763.0,-3.6,2007-08
Malik Allen,DAL,333.0,-3.3,2007-08
Rodney Stuckey,DET,1081.0,-1.1,2007-08
Dan Dickau,LAC,1040.0,-1.7,2007-08
Rodney Carney,PHI,1039.0,-1.7,2007-08
Damon Stoudamire,2TM,1037.0,-3.7,2007-08
Damon Stoudamire,MEM,624.0,-2.2,2007-08
Damon Stoudamire,SAS,413.0,-5.9,2007-08
Andrew Bynum,LAL,1008.0,4.2,2007-08
Arron Afflalo,DET,970.0,-1.5,2007-08
Shawne Williams,IND,967.0,-1.8,2007-08
Renaldo Balkman,NYK,952.0,-1.8,2007-08
Zaza Pachulia,ATL,944.0,-5.1,2007-08
Glen Davis,BOS,940.0,-3.0,2007-08
Spencer Hawes,SAC,931.0,-4.1,2007-08
Kris Humphries,TOR,925.0,-2.3,2007-08
Eddie Jones,DAL,922.0,-1.0,2007-08
